hh,sex,age,lga,edu,mrt_status,fmly_size,m_income,cfuel,ipollut,rbiomass,dailycook,avl_lpg,aff_lpg,Electricity,hrs_elect,aff_elct,exp_elct,source_light,exp_lpg,exp_nonlpg,aff_solide,hh_appl,edu_appl,c_appl,occupation,hh_exp,housing,wall,floor,rooms,bank,bank_acct,b_facility,road,raod_dist,schl,type_sch,dst_sch,sch_days,sch_drpout,chld_labor,h_facility,dist_hfacility,illiness,waterborne,resp_disease,eye_disease,child_death,maternalcare,square_meal,health_ins,rooms_per_person,people_per_room
1.0,1,3.0,1,6,1,4,4,6,1,2.0,2.0,1,2,1.0,12.0,2.0,10000.0,1.0,0.0,4500.0,2,1,1,1,1,60000.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1,1,1.0,0.5,5,2,0.0,1.0,1.0,2.0,0,0.0,0,0,2.0,3.0,1.0,0.4,1.3333333333333333
2.0,1,3.0,1,7,1,7,7,6,1,2.0,3.0,1,2,1.0,8.0,2.0,10000.0,1.0,12000.0,0.0,2,1,1,1,1,150000.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,1,1.0,0.5,5,2,0.0,1.0,0.5,5.0,2,0.0,0,0,2.0,3.0,1.0,0.375,1.75
3.0,1,3.0,1,6,1,5,5,6,1,2.0,3.0,1,2,1.0,4.0,2.0,2000.0,2.0,0.0,500.0,5,1,1,1,1,60000.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1,1,1.0,0.5,5,2,0.0,1.0,0.5,2.0,0,0.0,0,0,2.0,3.0,1.0,0.6666666666666666,1.0
4.0,1,3.0,1,6,1,6,3,6,1,2.0,3.0,1,2,1.0,16.0,2.0,5000.0,1.0,5000.0,2000.0,2,1,1,1,1,70000.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1,1,1.0,2.0,5,2,0.0,1.0,0.5,4.0,0,0.0,0,2,2.0,2.0,1.0,0.5714285714285714,1.2
5.0,1,4.0,1,5,1,10,7,6,1,3.0,3.0,1,2,1.0,5.0,2.0,10000.0,1.0,14000.0,14000.0,2,1,1,2,1,60000.0,3.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,2,1,1.0,0.5,5,2,0.0,1.0,3.0,10.0,2,0.0,0,0,1.0,3.0,1.0,0.45454545454545453,1.6666666666666667
6.0,1,3.0,1,6,1,4,7,4,1,2.0,2.0,1,4,1.0,6.0,2.0,5000.0,5.0,7000.0,2000.0,3,1,1,1,1,180000.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1,1,1.0,2.0,4,2,0.0,1.0,1.0,2.0,0,0.0,0,1,2.0,3.0,1.0,0.6,1.0
7.0,1,3.0,1,4,1,4,2,6,1,3.0,2.0,1,1,1.0,6.0,2.0,5000.0,1.0,8000.0,2500.0,1,1,1,1,1,80000.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1,1,1.0,2.0,5,2,0.0,1.0,1.0,3.0,0,0.0,0,0,2.0,3.0,1.0,1.2,0.5714285714285714
8.0,1,3.0,1,6,1,7,7,6,1,4.0,3.0,1,1,1.0,1.0,1.0,2000.0,2.0,10000.0,200.0,1,1,1,1,1,500000.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1,1,1.0,0.5,5,2,0.0,1.0,0.5,3.0,0,0.0,0,0,2.0,3.0,1.0,0.5,1.4
9.0,1,3.0,1,2,1,6,4,4,2,2.0,3.0,1,4,1.0,5.0,2.0,2000.0,5.0,20000.0,4000.0,3,1,1,1,1,120000.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1,1,1.0,0.4,5,1,0.0,1.0,13.0,6.0,0,0.0,2,1,2.0,3.0,1.0,0.42857142857142855,1.5
10.0,1,3.0,1,4,1,10,3,3,1,3.0,2.0,2,4,1.0,2.0,2.0,3000.0,1.0,12000.0,12000.0,3,1,1,1,1,120000.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3,1,1.0,0.5,4,2,0.0,1.0,9.0,3.0,1,4.0,5,1,1.0,2.0,1.0,0.2727272727272727,2.5
11.0,1,4.0,1,6,1,6,3,6,1,2.0,3.0,1,1,1.0,5.0,1.0,2000.0,2.0,12000.0,500.0,1,1,1,1,1,15000.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,5,2,0.0,1.0,0.5,4.0,4,0.0,0,0,2.0,4.0,1.0,0.5714285714285714,1.2
12.0,1,4.0,1,6,1,6,5,6,1,2.0,3.0,1,2,1.0,20.0,2.0,2000.0,1.0,0.0,0.0,2,1,1,1,1,60000.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1,1,2.0,1.0,5,2,0.0,1.0,3.0,4.0,2,0.0,0,0,2.0,3.0,1.0,0.5714285714285714,1.2
